内径,線径
18.50 ,3.00 
18.59 ,0.91 
18.60 ,0.90 
18.60 ,2.40 
18.64 ,3.53 
18.70 ,0.80 
18.70 ,1.20 
18.70 ,3.00 
18.72 ,2.62 
18.77 ,1.78 
18.77 ,1.85 
18.80 ,0.60 
18.80 ,1.90 
18.80 ,2.40 
18.85 ,0.56 
18.85 ,0.75 
18.90 ,0.70 
18.90 ,1.70 
18.97 ,4.80 
19.00 ,0.40 
19.00 ,0.50 
19.00 ,0.60 
19.00 ,0.65 
19.00 ,0.70 
19.00 ,0.75 
19.00 ,0.80 
19.00 ,0.90 
19.00 ,1.00 
19.00 ,1.50 
19.00 ,1.75 
19.00 ,1.78 
19.00 ,1.80 
19.00 ,2.00 
19.00 ,2.50 
19.00 ,2.65 
19.00 ,3.00 
19.00 ,4.00 
19.05 ,0.50 
19.40 ,2.10 
19.41 ,0.41 
19.41 ,0.91 
19.46 ,2.03 
19.50 ,0.50 
19.50 ,0.60 
19.50 ,1.50 
19.50 ,3.00 
19.53 ,1.78 
19.60 ,0.50 
19.60 ,0.70 
19.60 ,0.80 
19.60 ,2.40 
19.60 ,3.10 
19.60 ,3.30 
19.60 ,3.50 
19.70 ,2.25 
19.70 ,2.55 
19.76 ,7.59 
19.80 ,0.50 
19.80 ,0.55 
19.80 ,0.58 
19.80 ,0.60 
19.80 ,0.70 
19.80 ,0.80 
19.80 ,1.20 
19.80 ,1.30 
19.80 ,1.78 
19.80 ,1.90 
19.80 ,1.98 
19.80 ,2.40 
19.80 ,3.60 
19.89 ,1.24 
19.99 ,5.33 
20.00 ,0.30 
20.00 ,0.40 
20.00 ,0.50 
20.00 ,0.60 
20.00 ,0.70 
20.00 ,0.75 
20.00 ,0.80 
20.00 ,0.90 
20.00 ,1.00 
20.00 ,1.30 
20.00 ,1.40 
20.20 ,1.00 
20.22 ,3.53 
20.24 ,2.62 
20.29 ,2.62 
20.30 ,0.80 
20.30 ,2.40 
20.30 ,2.62 
20.35 ,0.75 
20.35 ,0.80 
20.35 ,1.78 
20.40 ,0.40 
20.40 ,0.63 
20.50 ,0.40 
20.50 ,0.50 
20.50 ,0.70 
20.50 ,0.75 
20.50 ,0.80 
20.50 ,2.00 
20.60 ,0.60 
20.60 ,0.70 
20.60 ,0.90 
20.60 ,1.90 
20.62 ,4.78 
20.63 ,2.62 
20.65 ,5.33 
20.70 ,0.50 
20.70 ,0.70 
20.80 ,0.60 
20.80 ,0.75 
20.80 ,0.80 
20.80 ,2.40 
21.00 ,0.40 
21.00 ,0.50 
21.00 ,0.55 
21.00 ,0.60 
21.00 ,0.70 
21.00 ,0.75 
21.00 ,0.80 
21.00 ,1.00 
21.00 ,1.50 
21.00 ,1.90 
21.00 ,2.00 
21.00 ,2.40 
21.00 ,2.50 
21.00 ,3.00 
21.40 ,0.60 
21.40 ,1.60 
21.44 ,3.96 
21.50 ,0.40 
21.50 ,0.50 
21.50 ,0.60 
21.50 ,0.70 
21.50 ,1.25 
21.50 ,1.50 
21.50 ,3.00 
21.59 ,1.14 
21.59 ,5.33 
21.60 ,0.75 
21.60 ,2.40 
21.60 ,3.30 
21.65 ,0.60 
21.70 ,0.70 
21.70 ,0.90 
21.70 ,3.50 
21.70 ,4.35 
21.80 ,1.50 
21.80 ,2.40 
21.82 ,3.53 
21.89 ,2.62 
21.90 ,2.00 
21.92 ,2.95 
21.92 ,3.53 
21.95 ,1.78 
22.00 ,0.30 
22.00 ,0.40 
22.00 ,0.50 
22.00 ,0.60 
22.00 ,0.70 
22.00 ,0.75 
22.00 ,0.80 
22.00 ,0.90 
22.00 ,1.50 
22.00 ,2.00 
22.00 ,2.30 
22.00 ,2.50 
22.00 ,3.00 
22.00 ,3.50 
22.00 ,4.00 
22.00 ,8.00 
22.10 ,0.60 
22.50 ,2.50 
22.60 ,0.60 
22.60 ,0.70 
22.63 ,1.27 
22.70 ,0.70 
22.70 ,1.20 
22.73 ,2.87 
22.80 ,0.40 
22.80 ,0.50 
22.80 ,1.50 
22.80 ,2.40 
22.81 ,0.79 
22.91 ,1.32 
23.00 ,0.40 
23.00 ,0.50 
23.00 ,0.60 
23.00 ,0.70 
23.00 ,0.75 
23.00 ,0.80 
23.00 ,1.50 
23.00 ,1.60 
23.00 ,2.00 
23.00 ,2.50 
23.00 ,3.00 
23.00 ,3.60 
23.00 ,4.00 
23.16 ,5.33 
23.20 ,0.80 
23.20 ,2.40 
23.20 ,3.00 
23.30 ,1.00 
23.30 ,1.90 
23.30 ,2.40 
23.39 ,3.53 
23.40 ,3.53 
23.47 ,2.62 
23.47 ,2.95 
23.50 ,0.40 
23.50 ,0.50 
23.50 ,0.70 
23.50 ,0.80 
23.50 ,1.00 
23.50 ,2.00 
23.50 ,2.50 
23.50 ,2.90 
23.90 ,0.50 
24.00 ,0.40 
24.00 ,0.50 
24.00 ,0.60 
